first 50,total time,second 50
24.47,50.5,-26.03
24.84,50.74,-25.9
24.38,50.93,-26.55
24.86,51.05,-26.19
25.1,51.17,-26.07
24.89,51.21,-26.32
24.78,51.59,-26.81
25.23,51.6,-26.37
25.14,51.69,-26.55
25.02,51.91,-26.89
25.13,51.94,-26.81
25.38,52.37,-26.99
25.36,52.55,-27.19
25.42,52.68,-27.26
24.98,52.68,-27.7
25.38,52.77,-27.39
25.85,53.11,-27.26
25.55,53.37,-27.82
25.95,53.76,-27.81
25.7,53.97,-28.27
26.35,54.52,-28.17
26.52,54.56,-28.04
26.64,54.62,-27.98
26.5,54.68,-28.18
26.24,54.7,-28.46
26.46,54.95,-28.49
26.92,55.08,-28.16
27.16,55.86,-28.7
26.88,55.92,-29.04
26.9,56.14,-29.24
27.79,56.46,-28.67
