first 50,total time,second 50
25.94,55.17,-29.23
25.96,55.46,-29.5
26.57,56.21,-29.64
26.4,56.38,-29.98
26.52,56.54,-30.02
26.79,56.63,-29.84
26.83,56.76,-29.93
26.31,56.89,-30.58
26.83,57.54,-30.71
26.91,57.64,-30.73
27.15,57.9,-30.75
27.16,57.95,-30.79
27.35,58.02,-30.67
27.36,58.12,-30.76
27.3,58.24,-30.94
27.19,58.36,-31.17
27.3,58.38,-31.08
27.77,58.48,-30.71
27.46,58.54,-31.08
27.5,59.1,-31.6
27.52,59.29,-31.77
28.18,59.72,-31.54
27.53,59.76,-32.23
27.93,01:00.3,-32.4
27.8,01:00.4,-32.61
28.19,01:01.0,-32.85
28.32,01:01.1,-32.8
28.49,01:01.4,-32.91
