first 50,total time,second 50
22.88,49.3,-26.42
23.4,49.35,-25.95
23.4,50.03,-26.63
23.37,50.03,-26.66
23.12,50.08,-26.96
23.24,50.11,-26.87
23.46,50.12,-26.66
23.68,50.43,-26.75
23.61,50.55,-26.94
23.86,50.74,-26.88
23.89,50.8,-26.91
23.61,50.89,-27.28
23.75,50.91,-27.16
24.08,51.37,-27.29
23.66,51.43,-27.77
24.15,51.49,-27.34
23.9,51.72,-27.82
24.3,51.79,-27.49
24.96,51.96,-27
24.17,52.12,-27.95
24.44,52.17,-27.73
24.68,52.37,-27.69
24.5,52.41,-27.91
24.08,52.44,-28.36
24.23,52.58,-28.35
24.86,52.63,-27.77
24.67,52.79,-28.12
24.37,52.92,-28.55
24.28,53.08,-28.8
24.36,53.11,-28.75
24.31,53.21,-28.9
24.94,53.4,-28.46
24.74,53.44,-28.7
