first 50,time,second 50
21.9,44.83,-22.93
21.56,45.01,-23.45
21.91,45.19,-23.28
22.15,45.33,-23.18
21.54,45.48,-23.94
22.13,45.61,-23.48
22.1,45.81,-23.71
21.88,46.36,-24.48
22,46.37,-24.37
22.1,46.39,-24.29
22.08,46.44,-24.36
22.31,46.57,-24.26
22.31,46.58,-24.27
22.39,46.7,-24.31
22.66,46.71,-24.05
22.34,46.73,-24.39
22.4,46.79,-24.39
22.29,46.91,-24.62
22.3,46.96,-24.66
22.36,47.03,-24.67
22.52,47.3,-24.78
22.89,47.42,-24.53
22.67,47.43,-24.76
22.47,47.44,-24.97
22.69,47.57,-24.88
22.63,47.58,-24.95
22.09,47.61,-25.52
22.55,47.73,-25.18
22.97,47.85,-24.88
22.57,47.86,-25.29
22.89,47.88,-24.99
23.17,48.02,-24.85
23.41,48.04,-24.63
23.17,48.08,-24.91
22.64,48.09,-25.45
22.98,48.16,-25.18
23.11,48.19,-25.08
22.91,48.23,-25.32
22.83,48.28,-25.45
23.33,48.59,-25.26
22.91,48.8,-25.89
23.49,48.83,-25.34
23.67,48.85,-25.18
23.53,48.94,-25.41
23.46,48.99,-25.53
23.23,49.1,-25.87
23.34,49.15,-25.81
23.22,49.26,-26.04
23.46,49.52,-26.06
23.39,49.77,-26.38
23.75,50.36,-26.61
24.16,50.82,-26.66
