first 50,total time,second 50
30.25,01:04.1,-33.84
30.05,01:04.5,-34.45
30.86,01:05.0,-34.18
31.16,01:05.8,-34.59
31.02,01:05.9,-34.91
31.45,01:06.4,-34.99
31.22,01:06.6,-35.38
31.26,01:06.6,-35.37
31.89,01:06.8,-34.86
31.62,01:06.9,-35.3
31.87,01:07.0,-35.16
31.51,01:07.3,-35.79
31.88,01:07.4,-35.5
31.95,01:07.5,-35.55
31.88,01:07.5,-35.62
32.51,01:08.6,-36.05
32.23,01:08.8,-36.55
32.53,01:08.9,-36.39
32.44,01:09.2,-36.75
31.46,01:09.2,-37.76
32.08,01:09.3,-37.21
32.26,01:09.4,-37.15
32.26,01:09.4,-37.17
32.28,01:09.8,-37.49
33.32,01:09.9,-36.53
33.06,01:09.9,-36.8
32.59,01:09.9,-37.33
32.41,01:10.0,-37.55
32.95,01:10.4,-37.45
33.5,01:10.9,-37.43
32.51,01:11.0,-38.5
33.04,01:11.1,-38.08
33.95,01:11.3,-37.37
34.25,01:11.5,-37.28
33.47,01:11.8,-38.34
33.53,01:11.9,-38.37
34.08,01:12.1,-37.98
33.33,01:12.9,-39.55
